"parameter","method","coverage","bias","MSE"
"DTE.10","group.time.ATT.ever.adopted",0.989,4.29579443527387e-05,1.22765023655608e-05
"DTE.10","TWFE",0.947,8.60584621840426e-05,2.78489809357771e-05
"DTE.10","TWFE.ever.adopted",0.947,8.60584621840426e-05,2.78489809357771e-05
"DTE.11","group.time.ATT",0.991,-0.000135317551709416,9.76270928190268e-06
"DTE.11","group.time.ATT.ever.adopted",0.995,-8.25329222940858e-05,1.07032212098748e-05
"DTE.11","TWFE",0.951,6.52174253728875e-05,2.73954215416962e-05
"DTE.11","TWFE.ever.adopted",0.951,6.52174253728875e-05,2.73954215416962e-05
"DTE.12","group.time.ATT",0.992,-9.20519019488546e-05,1.03299232175621e-05
"DTE.12","group.time.ATT.ever.adopted",0.995,-2.04379294213258e-05,1.12610701012291e-05
"DTE.12","TWFE",0.948,2.56697163661991e-05,2.89532572977963e-05
"DTE.12","TWFE.ever.adopted",0.948,2.56697163661991e-05,2.89532572977963e-05
"DTE.13","group.time.ATT",0.994,-0.000104511917527308,1.04435589234097e-05
"DTE.13","group.time.ATT.ever.adopted",0.997,-1.58580306546358e-05,1.43799063804735e-05
"DTE.13","TWFE",0.957,9.12713795349307e-05,2.66434416960537e-05
"DTE.13","TWFE.ever.adopted",0.957,9.12713795349307e-05,2.66434416960537e-05
"DTE.14","group.time.ATT",0.997,-0.000140909881989155,9.77305383128881e-06
"DTE.14","group.time.ATT.ever.adopted",0.991,-3.00690109088692e-05,1.38217668875837e-05
"DTE.14","TWFE",0.949,1.23564414825873e-05,2.89094248188073e-05
"DTE.14","TWFE.ever.adopted",0.949,1.23564414825873e-05,2.89094248188073e-05
"DTE.15","group.time.ATT",0.995,-3.76431442625107e-05,9.61341563618325e-06
"DTE.15","group.time.ATT.ever.adopted",0.995,0.000188357815202062,1.5334056913364e-05
"DTE.15","TWFE",0.941,0.000236358418161999,2.88803960301145e-05
"DTE.15","TWFE.ever.adopted",0.941,0.000236358418161999,2.88803960301145e-05
"DTE.16","group.time.ATT",0.993,-7.26540627337597e-05,1.06736286652447e-05
"DTE.16","group.time.ATT.ever.adopted",0.99,0.000122034886975994,1.58356484036987e-05
"DTE.16","TWFE",0.952,0.000141130487251367,2.9472009147677e-05
"DTE.16","TWFE.ever.adopted",0.952,0.000141130487251367,2.9472009147677e-05
"DTE.17","group.time.ATT",0.996,-0.000117167889073487,1.04603160840549e-05
"DTE.17","group.time.ATT.ever.adopted",0.993,-1.93220771034244e-06,1.59819397105198e-05
"DTE.17","TWFE",0.957,0.000124315649745837,2.88716724931069e-05
"DTE.17","TWFE.ever.adopted",0.957,0.000124315649745837,2.88716724931069e-05
"DTE.18","group.time.ATT",0.993,8.63110733519212e-07,1.03708254769163e-05
"DTE.18","group.time.ATT.ever.adopted",0.994,6.60733766162698e-05,1.42666626223731e-05
"DTE.18","TWFE",0.948,0.000153271649883782,2.94824085719532e-05
"DTE.18","TWFE.ever.adopted",0.948,0.000153271649883782,2.94824085719532e-05
"DTE.19","group.time.ATT",0.997,4.15714330792975e-05,1.05690483888608e-05
"DTE.19","group.time.ATT.ever.adopted",0.992,7.51044577561707e-05,1.5332901446592e-05
"DTE.19","TWFE",0.952,0.000203381115299619,3.08492454702369e-05
"DTE.19","TWFE.ever.adopted",0.952,0.000203381115299619,3.08492454702369e-05
"DTE.2","group.time.ATT",0.998,-0.000100496743265345,6.32900223100106e-06
