"parameter","method","coverage","bias","MSE","power"
"DTE..54","TWFE",0.945,0.000185946247236867,1.40322385430658e-05,0.021
"DTE..54","TWFE.ever.adopted",0.96,0.000202782117188284,2.18109128601893e-05,0.016
"DTE..55","group.time.ATT",0.992,-0.000191372799047211,1.73949551056875e-05,0.005
"DTE..55","stacked.regression",0.944,-0.000235242882404131,1.60718176000994e-05,0.031
"DTE..55","TWFE",0.934,-5.82876460267945e-05,1.49083840095984e-05,0.032
"DTE..55","TWFE.ever.adopted",0.948,-4.79461027937072e-05,2.52244454918151e-05,0.03
"DTE..56","group.time.ATT",0.997,-0.000171050600049803,1.53505363108066e-05,0.002
"DTE..56","stacked.regression",0.961,-4.387008335692e-05,1.51346552528921e-05,0.021
"DTE..56","TWFE",0.939,4.60984162632954e-05,1.48213610815852e-05,0.026
"DTE..56","TWFE.ever.adopted",0.948,-4.92359802527385e-05,2.77501518062433e-05,0.023
"DTE..57","group.time.ATT",0.993,0.000283907106170788,1.50226883865685e-05,0.003
"DTE..57","stacked.regression",0.947,0.000127180516692883,1.54524386644313e-05,0.021
"DTE..57","TWFE",0.961,0.000235154417945123,1.35274712474552e-05,0.015
"DTE..57","TWFE.ever.adopted",0.955,0.000161024906076564,2.5874377669711e-05,0.018
"DTE..58","group.time.ATT",0.995,5.09380842938309e-05,1.52769596070618e-05,0.003
"DTE..58","stacked.regression",0.961,-0.000156726589477905,1.46297589394249e-05,0.015
"DTE..58","TWFE",0.946,-3.73423283132349e-05,1.42292798765387e-05,0.025
"DTE..58","TWFE.ever.adopted",0.957,-0.000117884981675443,2.56235126312592e-05,0.022
"DTE..59","group.time.ATT",0.993,8.54638482066121e-05,1.6774855319902e-05,0.004
"DTE..59","stacked.regression",0.951,-0.000207664673771736,1.53002091450828e-05,0.027
"DTE..59","TWFE",0.951,-5.49492724487585e-05,1.29652426478401e-05,0.026
"DTE..59","TWFE.ever.adopted",0.957,-0.000115845768258462,2.3594796171356e-05,0.019
"DTE..6","group.time.ATT",0.994,-7.33089419656742e-06,6.2373167869158e-06,0.003
"DTE..6","group.time.ATT.ever.adopted",0.997,6.74961994588257e-05,9.1264602377303e-06,0
"DTE..6","stacked.regression",0.94,-3.59702502282234e-05,5.87093924125114e-06,0.034
"DTE..6","TWFE",0.953,1.39666501774801e-05,9.64133622103834e-06,0.026
"DTE..6","TWFE.ever.adopted",0.956,-2.46717692482314e-05,1.23377528461629e-05,0.022
"DTE..60","group.time.ATT",0.994,-0.000137259164642195,1.66566788587342e-05,0.003
"DTE..60","stacked.regression",0.962,-0.000293128521978349,1.52933747486935e-05,0.022
