"parameter","method","coverage","bias","MSE","power"
"DTE..52","group.time.ATT.ever.adopted",0.386,-0.000552586781298423,0.000182377875622797,0.316
"DTE..52","stacked.regression",0.833,-0.000294139864650196,6.14739315132056e-05,0.085
"DTE..52","TWFE",0.967,-0.000197122613882216,8.10834385789175e-05,0.021
"DTE..52","TWFE.ever.adopted",0.967,-0.000197122613882216,8.10834385789175e-05,0.021
"DTE..53","group.time.ATT",0.84,-0.000276158847876885,6.63769210640289e-05,0.074
"DTE..53","group.time.ATT.ever.adopted",0.379,-0.00039190982275674,0.000180485995155814,0.322
"DTE..53","stacked.regression",0.844,8.78578064560173e-05,6.40060867699112e-05,0.08
"DTE..53","TWFE",0.959,0.00028609305305926,0.000135668556728663,0.017
"DTE..53","TWFE.ever.adopted",0.959,0.00028609305305926,0.000135668556728663,0.017
"DTE..54","group.time.ATT",0.826,0.000695426278335361,6.0324729765929e-05,0.07
"DTE..54","group.time.ATT.ever.adopted",0.39,0.00108867554242893,0.000160074271270461,0.273
"DTE..54","stacked.regression",0.835,0.000364016654332902,6.2003293431046e-05,0.079
"DTE..54","TWFE",0.969,0.000235579686110241,7.13360154976262e-05,0.016
"DTE..54","TWFE.ever.adopted",0.969,0.000235579686110241,7.13360154976262e-05,0.016
"DTE..55","group.time.ATT",0.833,-1.08505509839586e-05,6.24197014448536e-05,0.085
"DTE..55","group.time.ATT.ever.adopted",0.386,-0.000521668802705788,0.000165907104861838,0.319
"DTE..55","stacked.regression",0.825,-0.000331409624002458,6.06407459879345e-05,0.093
"DTE..55","TWFE",0.967,-0.000136470097412116,0.000125135966987668,0.015
"DTE..55","TWFE.ever.adopted",0.967,-0.000136470097412116,0.000125135966987668,0.015
"DTE..56","group.time.ATT",0.62,-0.000519861807116904,7.36235147554837e-05,0.214
"DTE..56","stacked.regression",0.803,-0.0003205590730185,6.23657542059573e-05,0.097
"DTE..56","TWFE",0.958,-0.000287372518619177,7.64848190092479e-05,0.026
"DTE..56","TWFE.ever.adopted",0.958,-0.000287372518619177,7.64848190092479e-05,0.026
"DTE..57","group.time.ATT",0.596,0.000193315833539445,7.72303927454224e-05,0.209
"DTE..57","stacked.regression",0.372,8.44570758200491e-05,7.72197875945883e-05,0.31
"DTE..57","TWFE",0.974,0.000233380704224616,0.000141876946233485,0.014
"DTE..57","TWFE.ever.adopted",0.974,0.000233380704224616,0.000141876946233485,0.014
"DTE..58","group.time.ATT",0.603,0.000351039340069602,7.42003659544543e-05,0.194
"DTE..58","stacked.regression",0.409,-0.000108858757719396,7.18815506391885e-05,0.3
"DTE..58","TWFE",0.975,-0.000383013966579501,9.55978585498363e-05,0.013
"DTE..58","TWFE.ever.adopted",0.975,-0.000383013966579501,9.55978585498363e-05,0.013
"DTE..59","group.time.ATT",0.603,-0.000422918085033753,7.3524457774692e-05,0.214
"DTE..59","stacked.regression",0.388,-0.000459898097788999,7.63483416560422e-05,0.326
"DTE..59","TWFE",0.963,-0.000240564874609768,0.000143361006549355,0.019
"DTE..59","TWFE.ever.adopted",0.963,-0.000240564874609768,0.000143361006549355,0.019
"DTE..6","group.time.ATT",0.997,2.97458109929157e-05,8.87030500681225e-06,0
"DTE..6","group.time.ATT.ever.adopted",0.956,-0.000151671200403224,2.87797971889623e-05,0.025
"DTE..6","stacked.regression",0.963,9.45639723754974e-07,8.4149882245483e-06,0.016
"DTE..6","TWFE",0.974,-0.000226659164697214,4.85207864065695e-05,0.013
